ID,SCHOOL,DISTRICT,URBAN,FIRSTSUS,MALE,RACE,POVERTY,SPED,GRADE,enrolldate,exitdate,MONTH,GRADE7,GRADE8,INCIDENT,INC2,SCHLINC,SCHLENR,SCHLEXIT,SCHINC,SCHENRL,SCHEXIT,QUARTER,_st,_d,_t,_t0
2915,7469,5621,0,1,1,2,1,1,8,18141,18422,1,0,1,18143,2009-09-03,3,1,281,3,1,177,1,1,1,2,0
2074,8635,3675,0,1,1,5,1,1,7,18141,18430,1,1,0,18143,2009-09-03,3,1,289,3,1,180,1,1,1,2,0
12478,8684,3269,1,1,0,2,1,0,6,18141,18430,1,0,0,18143,2009-09-03,3,1,289,3,1,180,1,1,1,2,0
3591,30748,3549,0,1,1,3,1,1,8,18141,18424,1,0,1,18143,2009-09-03,3,1,283,3,1,179,1,1,1,2,0
9942,8631,3269,1,1,0,5,0,1,8,18141,18424,1,0,1,18143,2009-09-03,3,1,283,3,1,179,1,1,1,2,0
13038,8684,3269,1,1,0,2,1,0,6,18141,18424,1,0,0,18143,2009-09-03,3,1,283,3,1,179,1,1,1,2,0
9007,39604,5656,0,1,1,2,1,1,8,18141,18379,1,0,1,18144,2009-09-04,4,1,238,4,1,147,1,1,1,3,0
12730,8448,3269,1,1,1,2,0,1,8,18141,18238,1,0,1,18148,2009-09-08,5,1,97,5,1,64,1,1,1,4,0
7423,7874,3269,1,1,0,2,0,1,6,18141,18430,1,0,0,18149,2009-09-09,6,1,289,6,1,180,1,1,1,5,0
11880,5995,350,0,1,1,5,0,1,8,18141,18430,1,0,1,18149,2009-09-09,6,1,289,6,1,180,1,1,1,5,0
976,8582,3269,1,1,0,2,0,1,8,18141,18424,1,0,1,18149,2009-09-09,6,1,283,6,1,179,1,1,1,5,0
13035,8631,3269,1,1,1,2,1,1,7,18141,18430,1,1,0,18150,2009-09-10,7,1,289,7,1,180,1,1,1,6,0
12639,7208,4144,0,1,1,1,1,0,7,18141,18430,1,1,0,18150,2009-09-10,7,1,289,7,1,180,1,1,1,6,0
6299,8448,3269,1,1,0,2,1,1,8,18141,18424,1,0,1,18150,2009-09-10,7,1,283,7,1,179,1,1,1,6,0
9481,8448,3269,1,1,1,3,1,1,7,18141,18430,1,1,0,18151,2009-09-11,8,1,289,8,1,180,1,1,1,7,0
2835,8448,3269,1,1,1,2,1,1,7,18141,18424,1,1,0,18151,2009-09-11,8,1,283,8,1,179,1,1,1,7,0
11488,8631,3269,1,1,1,2,1,1,7,18141,18191,1,1,0,18151,2009-09-11,8,1,50,8,1,36,1,1,1,7,0
7868,7981,3269,1,1,1,5,0,0,7,18141,18430,1,1,0,18151,2009-09-11,8,1,289,8,1,180,1,1,1,7,0
1227,8444,3269,1,1,1,2,1,1,7,18141,18430,1,1,0,18151,2009-09-11,8,1,289,8,1,180,1,1,1,7,0
2215,8448,3269,1,1,1,2,0,0,8,18141,18177,1,0,1,18151,2009-09-11,8,1,36,8,1,26,1,1,1,7,0
9613,7981,3269,1,1,1,2,0,1,6,18141,18430,1,0,0,18151,2009-09-11,8,1,289,8,1,180,1,1,1,7,0
1156,8448,3269,1,1,0,2,1,1,7,18141,18424,1,1,0,18151,2009-09-11,8,1,283,8,1,179,1,1,1,7,0
7731,8448,3269,1,1,1,2,0,1,8,18141,18424,1,0,1,18151,2009-09-11,8,1,283,8,1,179,1,1,1,7,0
8110,8448,3269,1,1,0,2,1,1,6,18141,18430,1,0,0,18151,2009-09-11,8,1,289,8,1,180,1,1,1,7,0
7496,7874,3269,1,1,0,2,1,0,6,18141,18430,1,0,0,18151,2009-09-11,8,1,289,8,1,180,1,1,1,7,0
12154,7469,5621,0,1,1,5,1,1,7,18141,18422,1,1,0,18151,2009-09-11,8,1,281,8,1,177,1,1,1,7,0
8809,8444,3269,1,1,1,2,1,1,7,18141,18183,1,1,0,18151,2009-09-11,8,1,42,8,1,30,1,1,1,7,0
2853,7981,3269,1,1,1,5,0,1,7,18141,18430,1,1,0,18151,2009-09-11,8,1,289,8,1,180,1,1,1,7,0
4745,7469,5621,0,1,1,5,1,0,6,18141,18430,1,0,0,18151,2009-09-11,8,1,289,8,1,180,1,1,1,7,0
5476,8448,3269,1,1,1,2,1,1,7,18141,18430,1,1,0,18151,2009-09-11,8,1,289,8,1,180,1,1,1,7,0
9707,8444,3269,1,1,1,2,1,1,6,18141,18430,1,0,0,18151,2009-09-11,8,1,289,8,1,180,1,1,1,7,0
1518,26957,469,0,1,1,5,1,1,8,18141,18296,1,0,1,18151,2009-09-11,8,1,155,8,1,95,1,1,1,7,0
2596,8582,3269,1,1,0,2,1,1,8,18141,18424,1,0,1,18154,2009-09-14,9,1,283,9,1,179,1,1,1,8,0
326,6858,3381,0,1,1,5,0,1,8,18141,18189,1,0,1,18154,2009-09-14,9,1,48,9,1,34,1,1,1,8,0
6687,8582,3269,1,1,1,5,1,1,8,18141,18424,1,0,1,18154,2009-09-14,9,1,283,9,1,179,1,1,1,8,0
11192,8582,3269,1,1,1,2,1,1,7,18141,18409,1,1,0,18154,2009-09-14,9,1,268,9,1,169,1,1,1,8,0
8501,8582,3269,1,1,1,2,1,0,6,18141,18430,1,0,0,18154,2009-09-14,9,1,289,9,1,180,1,1,1,8,0
1703,8684,3269,1,1,1,1,1,1,6,18141,18424,1,0,0,18155,2009-09-15,10,1,283,10,1,179,1,1,1,9,0
8510,7977,3269,1,1,1,2,1,0,8,18141,18424,1,0,1,18155,2009-09-15,10,1,283,10,1,179,1,1,1,9,0
9802,7874,3269,1,1,0,3,1,1,7,18141,18205,1,1,0,18155,2009-09-15,10,1,64,10,1,44,1,1,1,9,0
4039,30748,3549,0,1,1,5,0,0,6,18141,18430,1,0,0,18155,2009-09-15,10,1,289,10,1,180,1,1,1,9,0
862,7873,3269,1,1,1,2,1,1,8,18141,18170,1,0,1,18156,2009-09-16,11,1,29,11,1,21,1,1,1,10,0
4035,8684,3269,1,1,1,2,1,1,8,18141,18424,1,0,1,18157,2009-09-17,11,1,283,12,1,179,1,1,1,10,0
2255,8684,3269,1,1,1,2,0,0,8,18141,18224,1,0,1,18157,2009-09-17,11,1,83,12,1,56,1,1,1,10,0
7278,8582,3269,1,1,1,5,1,1,8,18141,18424,1,0,1,18157,2009-09-17,12,1,283,12,1,179,1,1,1,11,0
